driverId,week,hours-logged,miles-logged
143,29,52,200
183,7,58,4000
388,30,75,2900
1008,12,63,1900
89,10,61,2500
737,35,65,2100
62,30,59,1900
855,31,53,3300
707,10,60,1200
935,28,56,900
12,42,51,2700
838,9,71,2800
51,19,54,2200
933,26,79,2600
472,22,51,400
41,36,66,3500
888,51,69,1600
773,26,67,800
942,7,66,1800
663,19,55,1500
265,41,55,500
182,25,74,400
254,49,69,0
681,41,62,1900
383,26,75,2900
294,37,72,2500
209,16,69,1800
697,50,64,1600
235,42,77,3100
695,14,74,3700
149,49,79,2500
760,1,58,4000
892,12,67,2200
971,35,74,200
977,2,61,1400
734,42,55,1900
587,48,73,1400
137,8,64,3700
349,9,60,500
764,30,57,3700
709,2,64,3200
964,20,74,3900
792,16,51,400
998,43,72,3500
540,24,58,4000
551,40,67,3600
159,13,80,3900
576,40,74,3400
347,1,55,1700
839,51,76,2500
612,17,50,900
762,44,59,2500
1004,28,51,3500
796,40,56,800
391,17,59,2500
422,30,75,3100
400,46,51,2300
22,24,70,400
824,43,67,2500
449,51,51,2000
230,4,69,600
621,44,55,3000
811,22,69,1200
282,24,69,2500
825,13,51,2500
119,23,62,900
123,52,67,2600
347,37,64,2000
714,6,74,3900
241,28,73,3700
581,15,58,3500
901,11,66,0
47,21,74,1800
814,11,51,1500
217,20,63,3500
885,43,74,1800
318,32,57,1200
328,42,62,1900
429,11,75,2600
104,50,67,3600
736,14,61,2900
200,29,75,700
636,26,67,500
811,11,52,2900
440,14,78,3300
70,16,78,3500
852,48,70,2700
135,23,59,2600
408,32,61,3900
882,19,58,2700
264,17,61,400
826,9,79,2100
796,43,57,3300
496,9,61,3300
10,11,51,1100
493,32,67,800
397,44,61,1800
162,28,60,2300
841,10,59,3300
131,39,63,1300
485,32,71,0
196,20,53,100
818,30,79,500
952,14,62,1700
318,2,80,400
96,40,53,100
10,52,58,900
395,4,72,4000
313,29,75,100
174,48,64,3300
808,3,66,3200
496,19,60,1800
639,48,77,200
989,32,63,2300
320,51,63,600
393,1,60,2000
678,41,64,1000
632,34,67,3300
197,35,59,300
276,14,74,2600
548,40,57,300
90,38,79,3000
162,33,66,1100
633,8,71,900
567,46,73,2000
486,13,59,800
896,35,63,100
368,31,74,0
33,28,61,300
604,13,73,3200
840,9,80,1600
876,43,60,3800
656,18,54,3300
510,22,77,1400
526,26,57,2000
891,43,60,3000
512,40,54,2200
122,20,75,1500
613,17,54,1100
684,10,65,1200
272,30,71,1700
421,48,67,2500
216,41,77,3400
755,11,57,0
793,4,67,800
999,32,54,300
794,7,60,3200
344,28,70,400
413,50,56,1800
353,9,51,2200
519,17,79,2000
22,50,56,1000
216,22,72,900
261,46,79,2700
413,31,59,3300
766,7,52,400
619,51,54,2600
983,34,58,1400
207,39,74,2300
163,18,80,3400
356,20,52,1500
360,45,62,800
653,9,74,800
588,29,68,600
446,33,74,100
761,1,56,300
704,6,79,800
257,11,68,3600
200,52,62,1100
706,11,60,1800
640,49,66,3700
461,16,77,2500
778,46,71,2100
911,45,60,1400
459,9,66,2700
326,8,51,1800
643,23,65,2100
521,2,50,1800
480,34,75,1200
423,13,68,900
843,44,60,1300
173,47,74,0
313,35,53,3600
129,33,66,1300
84,46,79,800
933,47,71,1800
924,21,55,2300
566,22,54,3100
775,51,58,2700
224,13,58,600
597,25,63,3400
158,37,51,3700
84,24,53,3100
166,48,50,0
668,44,65,2100
356,9,61,100
337,1,62,2400
852,2,52,1600
47,15,66,2500
